count,card,category,note
4,Great Tusk,Pokémon (Basic),non-Rule-Box attacker; mills from the top of the opponent's deck
4,Dwebble,Pokémon (Basic),Ascension tutors its own evolution (self-thinning)
4,Crustle,Pokémon (Stage 1),150 HP wall; Superb Scissors ignores effects on the Active
1,Budew,Pokémon (Basic),Item lock for a turn
4,Poké Pad,Item,consistency
2,Bug Catching Set,Item,second thinning line
2,Crushing Hammer,Item,energy denial
2,Pokégear 3.0,Item,Supporter search
2,Jumbo Ice Cream,Item,heal 80 without spending an attack
3,Switch,Item,tempo / retreat
1,Buddy-Buddy Poffin,Item,Basic search
1,Night Stretcher,Item,recovery
2,Counter Gain,Pokémon Tool,attack cost reduction when behind on Prizes
4,Explorer's Guidance,Supporter,draw
4,Lillie's Determination,Supporter,draw
3,Boss's Orders,Supporter,target selection
2,Xerosic's Machinations,Supporter,hand disruption (opponent to 3)
1,Neutralization Zone,Stadium (ACE SPEC),no damage from ex/V attacks to non-Rule-Box Pokémon
2,Battle Cage,Stadium,blocks bench-damage abilities
6,Basic Grass Energy,Energy,
4,Rock Fighting Energy,Special Energy,strips attack side-effects
2,Mist Energy,Special Energy,strips attack side-effects
